file,specimen,peak_force_N
Plan pokusa-6.11.2024.csv,1,154.673
Plan pokusa-6.11.2024.csv,2,143.768
Plan pokusa-6.11.2024.csv,3,152.316
Plan pokusa-6.11.2024.csv,4,160.729
Plan pokusa-6.11.2024.csv,5,129.477
Plan pokusa-6.11.2024.csv,6,158.974
Plan pokusa-6.11.2024.csv,7,112.025
Plan pokusa-6.11.2024.csv,8,143.239
Plan pokusa-6.11.2024.csv,9,259.452
Plan pokusa-6.11.2024.csv,10,132.031
Plan pokusa-6.11.2024.csv,11,175.571
Plan pokusa-6.11.2024.csv,12,111.334
Plan pokusa-6.11.2024.csv,13,159.771
Plan pokusa-6.11.2024.csv,14,102.987
Plan pokusa-6.11.2024.csv,15,165.197
Plan pokusa-6.11.2024.csv,16,157.262
Plan pokusa-6.11.2024.csv,17,154.802
Plan pokusa-6.11.2024.csv,18,202.427
Plan pokusa-6.11.2024.csv,19,159.206
Plan pokusa-6.11.2024.csv,20,124.566
Plan pokusa-6.11.2024.csv,21,130.016
Plan pokusa-6.11.2024.csv,22,128.8
Plan pokusa-6.11.2024.csv,23,129.037
Plan pokusa-6.11.2024.csv,24,186.448
Plan pokusa-6.11.2024.csv,25,140.003
Plan pokusa-6.11.2024.csv,26,194.804
Plan pokusa-6.11.2024.csv,27,165.311
Plan pokusa-6.11.2024.csv,28,155.023
Plan pokusa-6.11.2024.csv,29,201.167
Plan pokusa-6.11.2024.csv,30,147.096
Plan pokusa-6.11.2024.csv,31,168.139
Plan pokusa-6.11.2024.csv,32,164.301
Plan pokusa-6.11.2024.csv,33,153.429
Plan pokusa 15.11.2024 raw data.csv,1,171.868
Plan pokusa 15.11.2024 raw data.csv,2,149.113
Plan pokusa 15.11.2024 raw data.csv,3,152.05
Plan pokusa 15.11.2024 raw data.csv,4,164.425
Plan pokusa 15.11.2024 raw data.csv,5,132.394
Plan pokusa 15.11.2024 raw data.csv,6,166.273
Plan pokusa 15.11.2024 raw data.csv,7,115.697
Plan pokusa 15.11.2024 raw data.csv,8,127.886
Plan pokusa 15.11.2024 raw data.csv,9,186.226
Plan pokusa 15.11.2024 raw data.csv,10,151.048
Plan pokusa 15.11.2024 raw data.csv,11,202.747
Plan pokusa 15.11.2024 raw data.csv,12,112.56
Plan pokusa 15.11.2024 raw data.csv,13,162.405
Plan pokusa 15.11.2024 raw data.csv,14,100.332
Plan pokusa 15.11.2024 raw data.csv,15,173.99
Plan pokusa 15.11.2024 raw data.csv,16,170.605
Plan pokusa 15.11.2024 raw data.csv,17,164.775
Plan pokusa 15.11.2024 raw data.csv,18,214.728
Plan pokusa 15.11.2024 raw data.csv,19,165.476
Plan pokusa 15.11.2024 raw data.csv,20,129.054
Plan pokusa 15.11.2024 raw data.csv,21,127.259
Plan pokusa 15.11.2024 raw data.csv,22,131.112
Plan pokusa 15.11.2024 raw data.csv,23,126.711
Plan pokusa 15.11.2024 raw data.csv,24,209.896
Plan pokusa 15.11.2024 raw data.csv,25,141.836
Plan pokusa 15.11.2024 raw data.csv,26,208.893
Plan pokusa 15.11.2024 raw data.csv,27,167.173
Plan pokusa 15.11.2024 raw data.csv,28,175.86
Plan pokusa 15.11.2024 raw data.csv,29,222.423
Plan pokusa 15.11.2024 raw data.csv,30,150.861
Plan pokusa 15.11.2024 raw data.csv,31,171.724
Plan pokusa 15.11.2024 raw data.csv,32,177.77
Plan pokusa 15.11.2024 raw data.csv,33,146.628
Plan pokusa 26.11.2024.csv,1,193.127
Plan pokusa 26.11.2024.csv,2,155.633
Plan pokusa 26.11.2024.csv,3,151.977
Plan pokusa 26.11.2024.csv,4,166.942
Plan pokusa 26.11.2024.csv,5,137.103
Plan pokusa 26.11.2024.csv,6,176.708
Plan pokusa 26.11.2024.csv,7,121.368
Plan pokusa 26.11.2024.csv,8,114.096
Plan pokusa 26.11.2024.csv,9,191.919
Plan pokusa 26.11.2024.csv,10,171.97
Plan pokusa 26.11.2024.csv,11,231.376
Plan pokusa 26.11.2024.csv,12,115.196
Plan pokusa 26.11.2024.csv,13,167.236
Plan pokusa 26.11.2024.csv,14,99.678
Plan pokusa 26.11.2024.csv,15,183.26
Plan pokusa 26.11.2024.csv,16,181.748
Plan pokusa 26.11.2024.csv,17,172.532
Plan pokusa 26.11.2024.csv,18,228.046
Plan pokusa 26.11.2024.csv,19,174.542
Plan pokusa 26.11.2024.csv,20,131.566
Plan pokusa 26.11.2024.csv,21,122.107
Plan pokusa 26.11.2024.csv,22,131.861
Plan pokusa 26.11.2024.csv,23,121.396
Plan pokusa 26.11.2024.csv,24,231.547
Plan pokusa 26.11.2024.csv,25,140.672
Plan pokusa 26.11.2024.csv,26,220.591
Plan pokusa 26.11.2024.csv,27,168.107
Plan pokusa 26.11.2024.csv,28,193.737
Plan pokusa 26.11.2024.csv,29,241.499
Plan pokusa 26.11.2024.csv,30,154.84
Plan pokusa 26.11.2024.csv,31,173.515
Plan pokusa 26.11.2024.csv,32,189.238
Plan pokusa 26.11.2024.csv,33,136.582
